time, Quad.IMU.AX
0.499997,-0.278870
0.504997,0.319511
0.509997,-0.388938
0.514997,0.219790
0.519997,-0.102019
0.524997,0.011284
0.529997,-0.634519
0.534997,0.094057
0.539997,0.387265
0.544997,0.195590
0.549996,-0.615246
0.554996,0.058476
0.559996,-0.492164
0.564996,0.392978
0.569996,-0.876755
0.574996,-0.046215
0.579996,-0.074941
0.584996,-0.057170
0.589996,0.367313
0.594996,0.439694
0.599996,-0.967518
0.604996,0.063361
0.609996,-0.297860
0.614996,0.106929
0.619996,0.359276
0.624996,-0.261006
0.629995,0.503385
0.634995,0.089308
0.639995,-1.068579
0.644995,-0.109281
0.649995,0.299206
0.654995,0.613046
0.659995,-0.090761
0.664995,0.567207
0.669995,0.043152
0.674995,0.179010
0.679995,-0.615084
0.684995,0.046303
0.689995,0.015882
0.694995,0.579994
0.699995,0.578831
0.704994,-0.223759
0.709994,0.629992
0.714994,-0.253368
0.719994,-0.022918
0.724994,0.745233
0.729994,0.028247
0.734994,0.607817
0.739994,-0.693951
0.744994,0.610846
0.749994,-0.055239
0.754994,-0.215721
0.759994,0.235811
0.764994,0.402900
0.769994,-0.476692
0.774994,0.728789
0.779994,-0.094995
0.784993,-0.124065
0.789993,0.544308
0.794993,-0.930906
0.799993,-0.116660
0.804993,0.149658
0.809993,-0.386326
0.814993,-0.231394
0.819993,-0.179358
0.824993,0.445313
0.829993,0.053764
0.834993,0.296603
0.839993,0.043128
0.844993,0.619718
0.849993,-0.096097
0.854993,-0.119338
0.859993,-0.358652
0.864992,-0.179955
0.869992,-0.482893
0.874992,0.100221
0.879992,-0.103840
0.884992,-0.402930
0.889992,-0.681685
0.894992,-0.710554
0.899992,0.462757
0.904992,-0.027756
0.909992,0.181879
0.914992,-0.340224
0.919992,-0.382309
0.924992,-0.269914
0.929992,0.462317
0.934992,-0.455624
0.939991,0.292363
0.944991,-0.247272
0.949991,1.243753
0.954991,-0.670094
0.959991,0.471516
0.964991,1.177778
0.969991,-0.741913
0.974991,0.953020
0.979991,-0.695369
0.984991,0.164907
0.989991,0.620876
0.994991,-0.621702
0.999991,0.231712
1.004991,0.135286
1.009991,-0.011463
1.014991,0.918497
1.019992,0.589039
1.024992,-0.108552
1.029992,-0.698632
1.034992,-0.006205
1.039993,-0.023244
1.044993,-0.064432
1.049993,0.701330
1.054993,-0.083317
1.059994,-0.164669
1.064994,-0.065498
1.069994,-0.293919
1.074994,-0.173994
1.079994,0.557607
1.084995,0.118064
1.089995,-0.128035
1.094995,-0.100899
1.099995,0.461617
1.104996,-0.136025
1.109996,0.513964
1.114996,-0.257466
1.119996,-0.117617
1.124997,-0.342148
1.129997,-0.791528
1.134997,0.369421
1.139997,0.169534
1.144997,-0.312034
1.149998,1.041347
1.154998,0.403500
1.159998,0.011515
1.164998,-0.359927
1.169999,-0.115966
1.174999,0.467716
1.179999,0.269864
1.184999,-0.453115
1.190000,-0.422842
1.195000,-0.023988
1.200000,-0.153474
1.205000,0.088231
1.210001,0.112140
1.215001,-0.181642
1.220001,-0.807964
1.225001,0.729966
1.230001,0.034971
1.235002,-0.447978
1.240002,-0.521371
1.245002,-0.229548
1.250002,-1.013573
1.255003,0.266371
1.260003,0.926665
1.265003,-0.349558
1.270003,-0.048616
1.275004,0.513553
1.280004,0.446211
1.285004,0.289692
1.290004,-0.903404
1.295004,0.103127
1.300005,0.231944
1.305005,0.057827
1.310005,-0.530582
1.315005,0.053163
1.320006,-0.162205
1.325006,0.374862
1.330006,0.024617
1.335006,-0.248735
1.340007,0.249491
1.345007,-0.413829
1.350007,0.133323
1.355007,-0.723958
1.360008,-0.226042
1.365008,-0.156791
1.370008,-0.284735
1.375008,1.215574
1.380008,-0.569316
1.385009,0.221876
1.390009,-0.128760
1.395009,0.186722
1.400009,-0.006866
1.405010,1.172706
1.410010,-0.148094
1.415010,-0.364254
1.420010,0.458339
1.425011,-0.366605
1.430011,0.896424
1.435011,-0.052079
1.440011,-0.138726
1.445011,0.495770
1.450012,0.001058
1.455012,-0.650420
1.460012,-0.209604
1.465012,0.225498
1.470013,0.214452
1.475013,0.690255
1.480013,-0.844752
1.485013,-0.441746
1.490014,0.446204
1.495014,0.579217
1.500014,0.160635
1.505014,0.076002
1.510015,0.473848
1.515015,-0.040147
1.520015,0.188760
1.525015,0.526790
1.530015,0.214130
1.535016,-0.840640
1.540016,0.018981
1.545016,-0.181287
1.550016,0.373361
1.555017,0.201515
1.560017,0.539047
1.565017,0.661163
1.570017,0.394824
1.575018,-0.888924
1.580018,-0.183196
1.585018,-0.633512
1.590018,-0.038172
1.595019,-0.147890
1.600019,-0.756087
1.605019,0.030599
1.610019,0.031850
1.615019,0.127257
1.620020,-1.070286
1.625020,-0.122879
1.630020,-0.435790
1.635020,0.649696
1.640021,0.462178
1.645021,-0.231238
1.650021,-0.548987
1.655021,-0.187306
1.660022,0.211343
1.665022,0.452788
1.670022,0.735792
1.675022,0.672619
1.680022,0.722665
1.685023,0.503336
1.690023,0.661221
1.695023,0.001315
1.700023,0.060798
1.705024,-0.668621
1.710024,0.215231
1.715024,-0.110757
1.720024,-0.831182
1.725025,-0.132863
1.730025,-0.734771
1.735025,0.062783
1.740025,-0.030803
1.745026,0.345985
1.750026,0.112505
1.755026,-0.367000
1.760026,0.189866
1.765026,-0.047422
1.770027,0.251815
1.775027,-0.685768
1.780027,0.021511
1.785027,0.172332
1.790028,0.267113
1.795028,-0.211377
1.800028,0.453998
1.805028,-0.563728
1.810029,0.031785
1.815029,0.334114
1.820029,0.534063
1.825029,-0.384719
1.830029,0.091165
1.835030,-0.382133
1.840030,-0.560775
1.845030,0.487527
1.850030,0.295772
1.855031,-0.196915
1.860031,-0.779483
1.865031,-0.278592
1.870031,0.535384
1.875032,0.360632
1.880032,0.075198
1.885032,-0.225117
1.890032,-0.837238
1.895033,0.075358
1.900033,-0.171798
1.905033,-1.201842
1.910033,0.389272
1.915033,0.074755
1.920034,-0.614438
1.925034,0.088019
1.930034,0.610651
1.935034,-0.074760
1.940035,0.199979
1.945035,-0.053961
1.950035,0.415819
1.955035,-0.095554
1.960036,-0.418725
1.965036,-0.603328
1.970036,0.521688
1.975036,-0.419258
1.980036,-0.239508
1.985037,0.372859
